date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:55	400484/400484	---M--	200	added ('OK')	image/jpeg	etag:257bae600feafc9fc52b7e4f8400b0c7	http://static.showit.co/1200/xslf_jraqGwvmH-x7S7wPw/201471/dsc8941_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/xslf_jraqGwvmH-x7S7wPw/201471/dsc8941_2.jpg	(from https://sonaandcophoto.com/gallery)
23:19:32	561244/561244	---M--	200	added ('OK')	image/jpeg	etag:94fa02324c9d8e9f02110dc5e5ba9fb6	http://static.showit.co/1200/XJYA2MUphlObDw4_w-6LmQ/201471/dsc7248-2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/XJYA2MUphlObDw4_w-6LmQ/201471/dsc7248-2.jpg	(from https://sonaandcophoto.com/gallery)
23:19:33	233107/233107	---M--	200	added ('OK')	image/jpeg	etag:40ed90f170fb7924285021d745b41c3c	http://static.showit.co/1200/3VdP8zxipZfRtuxO3SNyog/201471/ecola_state_park_oregon_jpg.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/3VdP8zxipZfRtuxO3SNyog/201471/ecola_state_park_oregon_jpg.jpg	(from https://sonaandcophoto.com/gallery)
23:19:44	452201/452201	---M--	200	added ('OK')	image/jpeg	etag:9f09519a457f397aefe5cdc8f32af810	http://static.showit.co/1200/ql7tSJgB8-imHKy5hKfY-A/201471/dsc7121_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/ql7tSJgB8-imHKy5hKfY-A/201471/dsc7121_2.jpg	(from https://sonaandcophoto.com/gallery)
23:19:51	670234/670234	---M--	200	added ('OK')	image/jpeg	etag:8aa6518f64d9923fd710128695c31c3f	http://static.showit.co/1200/2NEN1Sa_wXSlq5hn61rCEA/201471/dsc6715_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/2NEN1Sa_wXSlq5hn61rCEA/201471/dsc6715_2.jpg	(from https://sonaandcophoto.com/gallery)
23:20:01	171804/171804	---M--	200	added ('OK')	image/jpeg	etag:f42e8413e97cc0bf87e0e9bd1d9e6572	http://static.showit.co/1200/LLT6Y2-6PTpLGGhW7qoOgg/201471/ecola_state_park_oregon.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/LLT6Y2-6PTpLGGhW7qoOgg/201471/ecola_state_park_oregon.jpg	(from https://sonaandcophoto.com/gallery)
23:20:41	250092/250092	---M--	200	added ('OK')	image/jpeg	etag:85d5648e21e73a58c2b8582b28304e7c	http://static.showit.co/1200/hPrDiI99YtPabwMHp6X_UA/201471/ecola_state_park_oregon_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/hPrDiI99YtPabwMHp6X_UA/201471/ecola_state_park_oregon_2.jpg	(from https://sonaandcophoto.com/gallery)
23:20:42	352798/352798	---M--	200	added ('OK')	image/jpeg	etag:42c7dc710623f61b3c53adad5530a82c	http://static.showit.co/1200/t2z8f94znzh2bF6cJy-6Lg/201471/dsc6137_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/t2z8f94znzh2bF6cJy-6Lg/201471/dsc6137_2.jpg	(from https://sonaandcophoto.com/gallery)
23:20:43	326753/326753	---M--	200	added ('OK')	image/jpeg	etag:109b1d72ec505c8e8607eb88857bed59	http://static.showit.co/1200/0bPOkp8qodaAIn0O5wwcQQ/201471/dsc7749_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/0bPOkp8qodaAIn0O5wwcQQ/201471/dsc7749_2.jpg	(from https://sonaandcophoto.com/gallery)
23:20:50	488694/488694	---M--	200	added ('OK')	image/jpeg	etag:666c88ceb887349fb3a57aaad26b6115	http://static.showit.co/1200/NCm9rW0qPTOBo0H7MqzFWQ/201471/dsc6983_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/NCm9rW0qPTOBo0H7MqzFWQ/201471/dsc6983_2.jpg	(from https://sonaandcophoto.com/gallery)
23:21:39	355939/355939	---M--	200	added ('OK')	image/jpeg	etag:754823a27e34d4f99637b66686edadab	http://static.showit.co/1200/nEgTBsASoOJL4SudbUAQXQ/201471/dsc6574_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/nEgTBsASoOJL4SudbUAQXQ/201471/dsc6574_2.jpg	(from https://sonaandcophoto.com/gallery)
23:21:47	395772/395772	---M--	200	added ('OK')	image/jpeg	etag:2de13ae97b92c9913110bc9847685873	http://static.showit.co/1200/vDVq3_IYvFYdCmp7k8C9fQ/201471/dsc6904_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/vDVq3_IYvFYdCmp7k8C9fQ/201471/dsc6904_2.jpg	(from https://sonaandcophoto.com/gallery)
23:21:50	372127/372127	---M--	200	added ('OK')	image/jpeg	etag:1fc5692253157a03007ef3cfa6a2567a	http://static.showit.co/1200/0TCdixpfFz8nhHSHm4Dn8g/201471/dsc5984_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/0TCdixpfFz8nhHSHm4Dn8g/201471/dsc5984_2.jpg	(from https://sonaandcophoto.com/gallery)
23:22:20	614718/614718	---M--	200	added ('OK')	image/jpeg	etag:e561bca8ff32708167c471b4773f913e	http://static.showit.co/1200/IUDTikI5iAvLa-gDWNHvzw/201471/dsc7017_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/IUDTikI5iAvLa-gDWNHvzw/201471/dsc7017_2.jpg	(from https://sonaandcophoto.com/gallery)
23:22:34	336332/336332	---M--	200	added ('OK')	image/jpeg	etag:c234382f1049423b0200a0250747777e	http://static.showit.co/1200/hbTIyolj785Gkovqwna05w/201471/dsc0948_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/hbTIyolj785Gkovqwna05w/201471/dsc0948_2.jpg	(from https://sonaandcophoto.com/gallery)
23:22:46	365593/365593	---M--	200	added ('OK')	image/jpeg	etag:5f52fe3d040bf802b55f56bc7b3589be	http://static.showit.co/1200/PpHq5e9JrDElE4o7kwbNMg/201471/dsc0219_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/PpHq5e9JrDElE4o7kwbNMg/201471/dsc0219_2.jpg	(from https://sonaandcophoto.com/gallery)
23:22:48	355596/355596	---M--	200	added ('OK')	image/jpeg	etag:8ff0a1d2c505475e6ea687e51870616a	http://static.showit.co/1200/cGrBXgZ8ZcAKMW40uY8k7w/201471/dsc0414_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/cGrBXgZ8ZcAKMW40uY8k7w/201471/dsc0414_2.jpg	(from https://sonaandcophoto.com/gallery)
23:23:17	350792/350792	---M--	200	added ('OK')	image/jpeg	etag:07fc30d23640367a60c3ce3aa4a6d4dd	http://static.showit.co/1200/5uUWuzTweiQu2Q2Cx_gk_w/201471/dsc0997_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/5uUWuzTweiQu2Q2Cx_gk_w/201471/dsc0997_2.jpg	(from https://sonaandcophoto.com/gallery)
23:23:26	322691/322691	---M--	200	added ('OK')	image/jpeg	etag:8ee82154f65eab4442f2523247ddca25	http://static.showit.co/1200/g6vE302t6Sy2gntTlF0WnQ/201471/dsc0864_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/g6vE302t6Sy2gntTlF0WnQ/201471/dsc0864_2.jpg	(from https://sonaandcophoto.com/gallery)
